T,p,q
1633722671,785.6,7
1633722672,785.6,1
1633722680,785.33,2
1633722693,785.05,9
1633722694,785.05,2
1633722696,785.05,1
1633722718,784.64,1
1633722752,785.31,10
1633722754,785.35,30
1633722759,785.06,1
1633722775,785.16,1
1633722840,785.34,9
1633722866,785.16,3
1633722943,785.09,1
1633722975,785,1
1633723001,785.25,2
1633723015,785.13,3
1633723036,785.2,2
1633723041,785.2,1
1633723050,785.25,2
1633723058,785.4,1
1633723066,785.59,1
1633723070,785.39,4
1633723072,785.4,1
1633723082,785.37,2
1633723094,785.43,2
1633723099,785.33,4
1633723101,785.36,1
1633723119,785.59,1
1633723138,785.54,2
1633723150,785.53,2
1633723151,785.53,1
1633723152,785.7,1
1633723172,785.3,1
1633723175,785.3,1
1633723201,785.49,10
1633723202,785.49,11
1633723203,785.49,8
1633723203,785.49,7
1633723210,785.49,2
1633723211,785.49,6
1633723211,785.49,1
1633723250,785,1
1633723337,785.49,15
1633723341,785.2,1
1633723367,785.49,12
1633723403,785.1,4
1633723404,785.1,1
1633723599,785.22,3
1633723599,785.22,2
1633723600,785.22,1
1633723609,785.25,1
1633723678,785.3,1
1633723918,785.25,1
1633724088,784.75,3
1633724112,784.75,1
1633724112,784.75,2
1633724113,784.75,1
1633724422,784.75,1
1633724483,784.82,5
1633724483,784.82,2
1633725096,784.9,2
1633725110,784.9,1
1633726204,785,5
1633726788,785.3,4
