T,p,q
1633701729,210.09,10
1633701735,210.19,1
1633701735,210.19,3
1633701736,210.19,1
1633701747,210.4,10
1633701747,210.4,1
1633701751,210.4,3
1633701752,210.44,1
1633701753,210.45,1
1633701755,210.54,2
1633701768,210.56,1
1633701770,210.52,10
1633701771,210.52,3
1633701773,210.51,1
1633701780,210.43,1
1633701783,210.46,20
1633701784,210.46,4
1633701785,210.46,5
1633701787,210.31,1
1633701805,210.35,4
1633701811,210.38,1
1633701855,210.32,5
1633701856,210.33,1
1633701867,210.41,1
1633701877,210.54,16
1633701888,210.52,1
1633701892,210.55,30
1633701892,210.55,2
1633701901,210.7,1
1633701917,210.6,10
1633701917,210.6,6
1633701925,210.58,2
1633701953,210.88,1
1633701980,210.57,15
1633701981,210.54,3
1633701985,210.62,3
1633701991,210.63,2
1633701995,210.51,1
1633701997,210.51,1
1633702001,210.52,11
1633702014,210.35,1
1633702014,210.35,8
1633702020,210.4,4
1633702031,210.6,1
1633702045,210.59,1
1633702050,210.51,2
1633702057,210.63,1
1633702062,210.64,3
1633702065,210.58,1
1633702077,210.7,4
1633702080,210.76,1
1633702088,210.62,1
1633702099,210.71,3
1633702117,210.64,5
1633702133,210.69,10
1633702133,210.69,2
1633702139,210.77,3
1633702140,210.76,1
1633702141,210.79,1
1633702144,210.85,1
1633702145,210.84,10
1633702150,210.85,1
1633702163,210.88,1
1633702164,210.84,1
1633702183,210.89,2
1633702187,210.89,1
1633702187,210.93,3
1633702210,210.87,5
1633702219,210.87,1
1633702219,210.87,1
1633702220,210.87,3
1633702225,210.95,1
1633702229,210.95,1
1633702230,210.95,2
1633702235,211.04,1
1633702240,210.86,2
1633702245,210.94,2
1633702250,210.99,2
1633702278,211.01,10
1633702284,210.89,2
1633702286,210.88,1
1633702303,210.75,1
1633702304,210.71,1
1633702308,210.75,1
1633702311,210.77,2
1633702312,210.77,5
1633702313,210.77,3
1633702317,210.76,10
1633702329,210.78,10
1633702336,210.73,1
